date,forecast_revenue
2018-10-18,-661.4103207029887
2018-10-19,-2986.48299403017
2018-10-20,-7869.796336192831
2018-10-21,-6124.6104797232965
2018-10-22,1050.7088148508021
2018-10-23,113.35864072284745
2018-10-24,-353.1621466360846
2018-10-25,-1759.0619140602494
2018-10-26,-4397.069920117661
2018-10-27,-9620.33378962534
2018-10-28,-7778.519056494278
2018-10-29,-167.01740769129992
2018-10-30,-1162.258670770734
2018-10-31,-1657.4410181163232
2018-11-01,-3108.8856179619897
2018-11-02,-5766.031544049082
2018-11-03,-11010.078350999858
2018-11-04,-9162.357273663387
2018-11-05,-1524.1922874555348
2018-11-06,-2522.9724130543636
2018-11-07,-3019.9068243957718
2018-11-08,-4474.135543010236
2018-11-09,-7132.451354363911
2018-11-10,-12377.768604786565
2018-11-11,-10529.686477653875
2018-11-12,-2889.891584210326
2018-11-13,-3888.888037480317
2018-11-14,-4385.929551010797
2018-11-15,-5840.328460448573
2018-11-16,-8498.715785898159
